dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	96586	134726	35395	50594
1.0	106167	148389	106111	148309
0.9487179487179487	27567	39184	27563	39180
1.0	188952	262448	139268	194042
1.0	56839	81055	56740	80952
1.0	184164	256307	13553	19545
1.0	59662	84929	52290	74401
1.0	94772	132436	94763	132426
1.0	214177	297675	178949	248663
1.0	235833	327626	230294	318811
1.0	62335	88581	62189	88409
1.0	129714	181114	104122	145619
1.0	104584	146265	86283	121810
1.0	235336	326718	130072	181504
0.9435897435897436	152306	212309	45585	65066
1.0	217503	302293	217431	302218
1.0	50618	72028	50255	71650
0.9333333333333333	126532	176346	126403	176199
1.0	59481	84615	59380	84503
1.0	217119	301905	26494	37664
1.0	222488	308897	189893	263734
1.0	161440	225013	17113	24760
1.0	203950	283123	203934	283107
1.0	145868	203246	107292	149889
1.0	8531	12596	8528	12593
1.0	164854	229690	72021	102301
0.8974358974358975	236509	328508	98823	138085
1.0	174920	243678	174892	243650
1.0	166168	231512	166125	231469
1.0	207326	287869	145863	203235
1.0	171912	239556	5213	7733
1.0	242876	337212	217426	302213
0.9076923076923077	161453	225026	112817	157453
1.0	120767	168523	120766	168522
1.0	119797	167057	119792	167047
1.0	64298	91088	60972	86802
1.0	206548	286613	206535	286600
1.0	90640	127300	90604	127261
1.0	227097	314714	47502	67911
1.0	216259	300793	116422	162475
1.0	69873	98532	55223	78644
1.0	167122	232890	91958	129056
1.0	222215	308535	158902	221567
1.0	221040	307110	84081	118961
1.0	49384	70367	49295	70275
1.0	186854	259553	186775	259474
1.0	179062	248858	178978	248774
1.0	177142	246533	55223	78644
1.0	178947	248661	29376	41721
1.0	146861	204673	140996	196775
1.0	101507	141945	101422	141858
1.0	205012	284570	22008	31562
1.0	177142	246533	69873	98532
1.0	222022	308255	50806	72267
1.0	141995	198156	141994	198155
1.0	156563	218491	13339	19210
1.0	77770	110426	23164	33184
1.0	301	302	294	295
1.0	209630	291050	167689	233638
1.0	92925	130072	92293	129429
1.0	162148	226162	162108	226077
1.0	211894	294406	175239	244063
0.9487179487179487	246566	342265	246565	342264
1.0	176007	245101	175984	245075
1.0	105773	147777	34022	48352
1.0	189039	262535	12856	18538
1.0	80543	114404	80476	114337
1.0	236098	327963	99281	138789
1.0	186610	259309	173301	241409
1.0	186277	258835	186263	258821
1.0	145489	202710	145409	202629
1.0	211039	293163	183208	254742
1.0	84484	119687	84482	119685
1.0	216244	300753	39464	56296
0.9743589743589743	160886	224404	152272	212275
0.9641025641025641	50314	71715	46450	66574
1.0	112481	156876	112409	156803
0.9846153846153847	141302	197182	91856	128953
0.9846153846153847	91856	128953	82924	117499
1.0	46445	66558	46364	66324
1.0	141325	197212	141311	197196
1.0	211335	293537	33837	48076
1.0	196221	272807	145739	203088
1.0	146672	204445	36250	52008
0.9230769230769231	151454	211120	151387	211053
1.0	176604	245801	176599	245796
1.0	94197	131697	7316	10952
1.0	236386	328379	236375	328368
1.0	244132	338870	177142	246533
1.0	118999	166121	61824	87944
1.0	220227	306014	220192	305979
1.0	122316	170656	66120	93551
1.0	102350	143015	47318	67727
0.9948717948717949	164063	228617	33056	46900
1.0	194903	270818	194699	270574
1.0	128830	179718	82376	116888
1.0	220144	305924	219950	305730
0.9025641025641026	159452	222190	70372	99367
1.0	177496	246910	3763	5655
1.0	239571	332327	239450	332204
1.0	203252	282188	203251	282186
0.9076923076923077	207533	288097	56752	80964
1.0	53062	75402	39599	56440
1.0	77385	109773	46022	65679
1.0	180967	251429	172599	240477
1.0	228190	316032	86031	121529
1.0	81509	115662	81449	115593
0.9897435897435898	176125	245255	176113	245241
1.0	134302	187378	134252	187325
1.0	186902	259602	177571	246985
0.9538461538461539	220737	306758	155361	216643
1.0	229427	317629	185123	257426
1.0	220490	306351	188807	262259
1.0	164854	229690	9963	14504
1.0	203968	283142	203927	283100
1.0	209642	291062	45592	65073
0.9384615384615385	301	302	272	273
1.0	136223	190016	30806	43908
0.9487179487179487	178673	248373	151674	211360
1.0	105777	147805	26652	37822
0.9487179487179487	220773	306816	21388	30784
1.0	243937	338639	203162	282068
1.0	234708	325775	140763	196447
0.9897435897435898	32009	45630	9521	13974
1.0	203968	283142	203935	283108
1.0	158454	221046	158419	221003
1.0	119503	166690	46366	66328
0.9230769230769231	62328	88566	7285	10859
1.0	136341	190183	97310	135971
1.0	158454	221046	158412	220995
1.0	85487	120844	85163	120499
1.0	64931	92021	64902	91990
1.0	158454	221046	158421	221007
0.9435897435897436	119067	166195	11840	17188
1.0	54606	77678	54604	77676
0.9435897435897436	159452	222190	9589	14045
1.0	140028	195322	109129	152340
0.9230769230769231	177939	247389	7338	11043
0.9487179487179487	10801	15671	10739	15609
0.9743589743589743	189012	262508	161465	225038
1.0	105974	148104	105914	148044
1.0	188064	261209	188031	261176
1.0	92876	130012	92312	129448
1.0	200187	278251	7291	10882
1.0	92089	129216	92066	129193
1.0	207581	288148	113423	158311
1.0	6880	10241	6877	10238
1.0	204628	284127	23133	33119
0.9897435897435898	90518	127175	90426	127083
1.0	59661	84928	52288	74399
1.0	99660	139215	99569	139102
1.0	46444	66550	32011	45632
1.0	161454	225027	27332	38698
1.0	136380	190224	123507	172323
1.0	90591	127248	90319	126976
0.9230769230769231	151454	211120	151411	211077
1.0	97864	136594	97862	136592
0.9230769230769231	62030	88243	7285	10859
1.0	90640	127300	90486	127143
1.0	161259	224832	9611	14067
1.0	100176	139994	7320	10976
1.0	13653	19718	13648	19713
1.0	177932	247382	45585	65066
0.8923076923076924	193546	269068	99281	138789
1.0	233647	323774	58440	83168
0.9076923076923077	135571	189039	62275	88496
0.9538461538461539	226722	314209	214282	297924
1.0	95428	133234	50510	71913
1.0	94197	131697	7279	10838
1.0	190215	264158	78294	111399
0.8923076923076924	141325	197212	141316	197201
0.9641025641025641	201497	279864	195956	272320
1.0	207639	288220	207606	288177
1.0	169125	235804	169091	235770
1.0	82017	116447	81992	116422
1.0	200187	278251	7260	10784
0.958974358974359	210526	292308	210296	292060
1.0	154811	215715	154802	215703
0.9025641025641026	141869	197945	29403	41748
1.0	125227	174673	3937	5837
1.0	120126	167533	115415	160999
1.0	118702	165758	87265	123238
1.0	231663	321037	151702	211395
1.0	200187	278251	7251	10767
0.9384615384615385	59215	84311	59124	84218
0.9282051282051282	146853	204665	141002	196781
1.0	92089	129216	92025	129152
1.0	249402	346315	249328	346236
1.0	67748	95779	67517	95533
1.0	246747	342477	234415	325254
1.0	107315	149949	34022	48352
1.0	107427	150136	7314	10948
1.0	226313	313641	226280	313608
1.0	112684	157185	50419	71821
1.0	161073	224617	103049	143997
0.9076923076923077	249978	347116	181828	252529
0.9846153846153847	229912	318374	20408	29481
1.0	142965	199303	142948	199278
1.0	118608	165544	118571	165459
1.0	246449	342117	165644	230764
0.9435897435897436	50515	71918	39224	56029
